id,year,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,comments
62,2019,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" High Country",1GCUYHEL5KZ408570,False,Black,Jet Black,8.0,Four Wheel Drive,Automatic,Automatic,16.0,20.0,Gasoline Fuel,53598.0,37125.0,"CARFAX One-Owner. Clean CARFAX. Black 2019 Chevrolet Silverado 1500 High Country 4WD 10-Speed Automatic EcoTec3 6.2L V8 10-Way Power Driver Seat w/Lumbar, 10-Way Power Passenger Seat Adjuster w/Lumbar, 120-Volt Bed Mounted Power Outlet, 120-Volt Instrument Panel Power Outlet, 12-Volt Rear Auxiliary Power Outlet, 170 Amp Alternator, 2nd Row Heated Outboard Seats, 8 Driver Information Center, Advanced Trailering System, All-Weather Floor Liner (LPO), Auto-Dimming Inside Rear-View Mirror, Auxiliary External Transmission Oil Cooler, Bluetooth® For Phone, Chevrolet Connected Access, Chevrolet w/4G LTE, Chevytec Spray-On Black Bedliner, Chrome Assist Steps, Chrome Grille, Chrome Recovery Hooks, Color-Keyed Carpeting Floor Covering, Compass, Deep-Tinted Glass, Driver Memory, Dual Exhaust w/Polished Outlets, Electric Rear-Window Defogger, Electrical Lock Control Steering Column, Electronic Cruise Control, Floor Mounted Console, Following Distance Indicator, Forward Collision Alert, Front Carpeted Floor Mats, Front LED Fog Lamps, Front Pedestrian Braking, HD Radio, HD Rear Vision Camera, Heated Driver & Front Passenger Seats, Heated Steering Wheel, Heavy-Duty Rear Locking Differential, High Country Deluxe, Hitch Guidance, Hitch Guidance w/Hitch View, Integrated Trailer Brake Controller, IntelliBeam Automatic High Beam On/Off, Keyless Open & Start, Lane Change Alert w/Side Blind Zone Alert, Lane Keep Assist w/Lane Departure Warning, Leather Wrapped Steering Wheel, LED Cargo Area Lighting, Low Speed Forward Automatic Braking, Manual Tilt/Telescoping Steering Column, Navigation System, OnStar & Chevrolet Connected Services Capable, Outside Heated Power-Adjustable Mirrors, Painted Mirror Caps, Power Door Locks, Power Front Passenger Windows w/Express Up/Down, Power Front Windows w/Driver Express Up/Down, Power Rear Windows w/Express Down, Power Sliding Rear Window w/Rear Defogger, Power Sunroof, Preferred Equipment Group 3LZ, Rear Carpeted Floor Mats, Rear Cross Traffic Alert, Rear Dual USB Charging-Only Por",,
63,2017,Honda,Civic Hatchback,EX CVT,SHHFK7H54HU416965,False,Black,,4.0,Front Wheel Drive,,Variable,31.0,40.0,Gasoline Fuel,20995.0,66599.0,"CARFAX One-Owner. Crystal Black Pearl 2017 Honda Civic EX FWD CVT 1.5L I4 DOHC 16V Black w/Cloth Seat Trim, 17 Alloy Wheels, Apple CarPlay/Android Auto, Automatic temperature control, Exterior Parking Camera Rear, Front dual zone A/C, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel.Odometer is 9048 miles below market average! 31/40 City/Highway MPGAwards:* 2017 KBB.com 10 Most Awarded Brands * 2017 KBB.com Brand Image AwardsKelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc.If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",,
64,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED7PG327008,True,Summit White,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54675.0,2.0,,,
65,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED8PG306393,True,Red Hot,Gideon/Very Dark Atmosphere,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54435.0,6.0,,,
66,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACED8PG327020,True,Summit White,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54675.0,2.0,,,
67,2023,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEDXPG327200,True,Summit White,Jet Black,4.0,Rear Wheel Drive,Automatic,Automatic,17.0,21.0,Gasoline Fuel,54675.0,2.0,,,
68,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG1PL259752,True,Summit White,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,28850.0,7.0,,,
69,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG4PL267490,True,Summit White,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,28850.0,8.0,,,
70,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG6PL259763,True,Summit White,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,28850.0,7.0,,,
71,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG7PL266947,True,Sterling Gray Metallic,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,29240.0,8.0,,,
72,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG8PL259764,True,Summit White,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,28850.0,8.0,,,
73,2023,Chevrolet,Equinox,FWD 4dr LS w/1LS,3GNAXHEG8PL267475,True,Summit White,Medium Ash Gray,4.0,Front Wheel Drive,Automatic,Automatic,26.0,31.0,Gasoline Fuel,28850.0,8.0,,,
74,2023,Chevrolet,Blazer,FWD 4dr LT w/3LT,3GNKBDR42PS216345,True,Black,Jet Black,4.0,Front Wheel Drive,Automatic,Automatic,22.0,29.0,Gasoline Fuel,41200.0,8.0,,,
